format	fm-lint-telemetry-v1
git_head	2e039e442a2e8fa72a49ce5a1ec3b65a6cac3564
content_cksum	271429315-69
shellcheck_version	0.11.0
analysis_mode	split
partition	all
jobs	2
root_count	2
direct_lines	2449
direct_bytes	94640
source_directives	5
source_boundary_directives	2
source_followed_directives	3
source_target_count	4
shard_1_weight_bytes	58922
shard_2_weight_bytes	35718
wall_seconds	2
worker_wall_sum_seconds	2.51
max_worker_wall_seconds	1.66
user_seconds	1.96
system_seconds	0.32
max_worker_rss_kib	153856
worker_rss_sum_kib	286464
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	9.23/7.27/7.69
load_average_end	8.81/7.21/7.67
aggregate_cpu_percent_start	487.20
aggregate_cpu_percent_end	405.40
result_exit	0
