format	fm-lint-telemetry-v1
git_head	7b41fb9953cee031298e80ff72193dee570538e9
content_cksum	744009189-70
shellcheck_version	0.11.0
analysis_mode	split
partition	all
jobs	2
root_count	2
direct_lines	2450
direct_bytes	94688
source_directives	5
source_boundary_directives	2
source_followed_directives	3
source_target_count	4
shard_1_weight_bytes	58922
shard_2_weight_bytes	35766
wall_seconds	2
worker_wall_sum_seconds	2.61
max_worker_wall_seconds	1.72
user_seconds	1.98
system_seconds	0.37
max_worker_rss_kib	152064
worker_rss_sum_kib	285568
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	8.34/7.96/7.73
load_average_end	8.34/7.96/7.73
aggregate_cpu_percent_start	324.80
aggregate_cpu_percent_end	250.90
result_exit	0
